url,zip_code,locality,price,type_transaction,subtype_transaction,type_of_property,subtype_of_property,energy_class,heating_type,construction_year,number_of_frontages,surface_land,surface_livable_space,number_floors,building_condition,surroundings_type,furnished,nb_of_rooms,rooms_living_room,rooms_dining_room,rooms_kitchen_type_installed,rooms_kitchen_type_kitchen_surface,rooms_bedrooms_number,rooms_bedrooms_surface,rooms_bathrooms_number,rooms_toilets_number,rooms_laundry_room,rooms_office_presence,rooms_office_surface,rooms_basement_presence,rooms_basement_surface,rooms_attic,extras_open_fire,exterior_terrace_presence,exterior_terrace_surface,exterior_terrace_orientation,exterior_garden_presence,exterior_garden_surface,exterior_garden_orientation,exterior_swimming_pool
https://www.immoweb.be/en/classified/apartment/for-rent/antwerpen/2000/11447013,2000,Antwerpen,925.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,B,Gas,,2,,,3,,Urban,True,6,,,False,,1,[],,,False,False,,False,,False,False,False,,,False,,,No
https://www.immoweb.be/en/classified/apartment/for-rent/ganshoren/1083/11391648,1083,Ganshoren,1200.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,D,Gas,1960,2,,80,3,As new,,False,10,37,True,USA installed,10,2,"['15', '12']",1,1,True,False,,True,4,False,False,False,2,,False,,,No
https://www.immoweb.be/en/classified/apartment/for-rent/eynatten/4731/11309885,4731,EYNATTEN,800.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,G,,,,,82,,,,False,7,,,Installed,,2,[],1,,False,False,,False,,False,False,False,,,False,,,False
https://www.immoweb.be/en/classified/apartment/for-rent/destelbergen/9070/11373166,9070,Destelbergen,1870.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,Not specified,,2024,,,214,,As new,,False,12,,,False,,3,[],3,3,False,False,,False,,False,False,False,,,False,,,False
https://www.immoweb.be/en/classified/apartment/for-rent/antwerpen/2000/11452639,2000,Antwerpen,1795.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,A,Gas,,2,,110,,Just renovated,,False,7,,,Installed,,2,[],1,,False,False,,False,,False,False,True,7,,False,,,No
https://www.immoweb.be/en/classified/apartment/for-rent/rixensart/1330/11137781,1330,Rixensart,1150.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,B,Gas,2018,3,,95,4,As new,,False,9,36,,Installed,,2,"['12', '11']",1,1,True,False,,False,,False,False,False,6,,False,,,No
https://www.immoweb.be/en/classified/apartment/for-rent/ath/7800/11333211,7800,Ath,1100.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,A,Gas,,,,110,,Good,,False,9,,,False,,3,[],1,2,False,False,,True,,False,False,False,,,False,,,False
https://www.immoweb.be/en/classified/apartment/for-rent/leuven/3000/11424032,3000,Leuven,940.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,Not specified,Fuel oil,,,,75,1,Good,,False,6,,,False,8,1,['20'],1,1,False,False,,True,,False,False,False,,,False,,,No
https://www.immoweb.be/en/classified/duplex/for-rent/city-of-brussels/1000/11126751,1000,City of Brussels,1800.0,FOR_RENT,RENT_REGULAR,APARTMENT,DUPLEX,Not specified,Gas,1847,2,,,3,Just renovated,,False,11,20,True,USA hyper equipped,20,3,"['15', '13', '13']",1,2,False,False,,False,,False,False,False,,,False,,,No
https://www.immoweb.be/en/classified/apartment/for-rent/perwez/1360/11412742,1360,Perwez,870.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,A+,Fuel oil,,,,,,Just renovated,Countryside,False,8,,True,Installed,,1,[],,1,True,False,,True,,False,False,False,,,True,14000,,Yes
